gun,saat,cinsiyet,bolge,uyelik_tipi,uye_sayisi,memnuniyet
Pazartesi,07:00,Erkek,Agirlik Istasyonu,VIP,24,8.3
Pazartesi,07:00,Erkek,Kardiyo,Standart,9,9.2
Pazartesi,07:00,Erkek,Yuzme Havuzu,VIP,12,8.4
Pazartesi,07:00,Erkek,Grup Stüdyosu,Standart,12,7.2
Pazartesi,07:00,Erkek,SPA & Sauna,Ogrenci,9,9.1
Pazartesi,07:00,Kadin,Agirlik Istasyonu,Ogrenci,3,7.3
Pazartesi,07:00,Kadin,Kardiyo,VIP,14,7.9
Pazartesi,07:00,Kadin,Yuzme Havuzu,Ogrenci,14,8.4
Pazartesi,07:00,Kadin,Grup Stüdyosu,Standart,18,8.3
Pazartesi,07:00,Kadin,SPA & Sauna,Ogrenci,5,7.9
Pazartesi,08:00,Erkek,Agirlik Istasyonu,VIP,13,8.0
Pazartesi,08:00,Erkek,Kardiyo,Ogrenci,9,8.5
Pazartesi,08:00,Erkek,Yuzme Havuzu,VIP,6,8.0
Pazartesi,08:00,Erkek,Grup Stüdyosu,VIP,13,8.7
Pazartesi,08:00,Erkek,SPA & Sauna,Standart,9,7.7
Pazartesi,08:00,Kadin,Agirlik Istasyonu,Premium,5,8.3
Pazartesi,08:00,Kadin,Kardiyo,Standart,16,6.6
Pazartesi,08:00,Kadin,Yuzme Havuzu,Standart,7,8.4
Pazartesi,08:00,Kadin,Grup Stüdyosu,Standart,24,8.1
Pazartesi,08:00,Kadin,SPA & Sauna,Standart,12,6.4
Pazartesi,09:00,Erkek,Agirlik Istasyonu,Ogrenci,27,6.3
Pazartesi,09:00,Erkek,Kardiyo,Standart,9,6.7
Pazartesi,09:00,Erkek,Yuzme Havuzu,Ogrenci,8,6.7
Pazartesi,09:00,Erkek,Grup Stüdyosu,VIP,10,7.2
Pazartesi,09:00,Erkek,SPA & Sauna,Standart,15,7.7
Pazartesi,09:00,Kadin,Agirlik Istasyonu,VIP,2,9.4
Pazartesi,09:00,Kadin,Kardiyo,VIP,21,8.3
Pazartesi,09:00,Kadin,Yuzme Havuzu,Standart,15,7.4
Pazartesi,09:00,Kadin,Grup Stüdyosu,VIP,18,7.8
Pazartesi,09:00,Kadin,SPA & Sauna,Standart,3,9.6
Pazartesi,10:00,Erkek,Agirlik Istasyonu,Ogrenci,13,7.9
Pazartesi,10:00,Erkek,Kardiyo,Ogrenci,9,7.9
Pazartesi,10:00,Erkek,Yuzme Havuzu,Premium,12,6.7
Pazartesi,10:00,Erkek,Grup Stüdyosu,Premium,7,7.0
Pazartesi,10:00,Erkek,SPA & Sauna,Standart,5,9.0
Pazartesi,10:00,Kadin,Agirlik Istasyonu,Standart,1,8.9
Pazartesi,10:00,Kadin,Kardiyo,VIP,10,9.2
Pazartesi,10:00,Kadin,Yuzme Havuzu,Standart,11,9.3
Pazartesi,10:00,Kadin,Grup Stüdyosu,Premium,18,7.4
Pazartesi,10:00,Kadin,SPA & Sauna,Ogrenci,9,6.9
Pazartesi,11:00,Erkek,Agirlik Istasyonu,Premium,21,7.4
Pazartesi,11:00,Erkek,Kardiyo,Premium,15,6.4
Pazartesi,11:00,Erkek,Yuzme Havuzu,Standart,14,8.3
Pazartesi,11:00,Erkek,Grup Stüdyosu,VIP,11,8.4
Pazartesi,11:00,Erkek,SPA & Sauna,Standart,12,7.4
Pazartesi,11:00,Kadin,Agirlik Istasyonu,Premium,5,8.9
Pazartesi,11:00,Kadin,Kardiyo,VIP,9,7.4
Pazartesi,11:00,Kadin,Yuzme Havuzu,VIP,14,9.2
Pazartesi,11:00,Kadin,Grup Stüdyosu,Ogrenci,9,8.0
Pazartesi,11:00,Kadin,SPA & Sauna,Premium,14,6.3
Pazartesi,12:00,Erkek,Agirlik Istasyonu,Premium,19,8.9
Pazartesi,12:00,Erkek,Kardiyo,Premium,15,8.0
Pazartesi,12:00,Erkek,Yuzme Havuzu,Ogrenci,10,8.4
Pazartesi,12:00,Erkek,Grup Stüdyosu,Standart,3,9.6
Pazartesi,12:00,Erkek,SPA & Sauna,VIP,5,8.9
Pazartesi,12:00,Kadin,Agirlik Istasyonu,Premium,11,7.3
Pazartesi,12:00,Kadin,Kardiyo,Ogrenci,13,7.7
Pazartesi,12:00,Kadin,Yuzme Havuzu,Standart,15,6.7
Pazartesi,12:00,Kadin,Grup Stüdyosu,Ogrenci,14,7.4
Pazartesi,12:00,Kadin,SPA & Sauna,Premium,9,8.4
Pazartesi,13:00,Erkek,Agirlik Istasyonu,Standart,13,8.8
Pazartesi,13:00,Erkek,Kardiyo,Premium,4,9.7
Pazartesi,13:00,Erkek,Yuzme Havuzu,Standart,15,6.4
Pazartesi,13:00,Erkek,Grup Stüdyosu,VIP,1,9.2
Pazartesi,13:00,Erkek,SPA & Sauna,Standart,15,6.4
Pazartesi,13:00,Kadin,Agirlik Istasyonu,Premium,10,7.3
Pazartesi,13:00,Kadin,Kardiyo,Standart,14,8.7
Pazartesi,13:00,Kadin,Yuzme Havuzu,VIP,13,7.7
Pazartesi,13:00,Kadin,Grup Stüdyosu,Standart,17,6.9
Pazartesi,13:00,Kadin,SPA & Sauna,Standart,13,9.3
Pazartesi,14:00,Erkek,Agirlik Istasyonu,VIP,23,8.4
Pazartesi,14:00,Erkek,Kardiyo,Ogrenci,4,7.1
Pazartesi,14:00,Erkek,Yuzme Havuzu,Standart,10,8.6
Pazartesi,14:00,Erkek,Grup Stüdyosu,Premium,15,7.9
Pazartesi,14:00,Erkek,SPA & Sauna,Ogrenci,6,8.2
Pazartesi,14:00,Kadin,Agirlik Istasyonu,VIP,11,8.9
Pazartesi,14:00,Kadin,Kardiyo,Standart,28,6.9
